repo_name,Stars,clone_url,Release,CBO,DIT,LCOM,LOC,Comments,Maturity
interviews,64024,https://github.com/kdn251/interviews.git,0,,,,18142,6577,8.1
Java,61130,https://github.com/TheAlgorithms/Java.git,0,,,,82962,22293,8.68
Stirling-PDF,54528,https://github.com/Stirling-Tools/Stirling-PDF.git,30,,,,27012,2282,2.15
tutorials,37105,https://github.com/eugenp/tutorials.git,0,,,,780254,38025,11.89
halo,35022,https://github.com/halo-dev/halo.git,30,,,,90773,10760,7.0
spring-boot-demo,33511,https://github.com/xkcoding/spring-boot-demo.git,0,,,,19387,7450,7.36
NewPipe,33278,https://github.com/TeamNewPipe/NewPipe.git,30,,,,58388,8942,9.55
ruoyi-vue-pro,29809,https://github.com/YunaiV/ruoyi-vue-pro.git,30,,,,214853,58370,4.15
SpringAll,28672,https://github.com/wuyouzhuguli/SpringAll.git,0,,,,19507,2004,6.89
xxl-job,28475,https://github.com/xuxueli/xxl-job.git,30,,,,12250,3054,9.31
JCSprout,27108,https://github.com/crossoverJie/JCSprout.git,0,,,,5619,1425,7.26
Telegram,25928,https://github.com/DrKLO/Telegram.git,30,,,,0,0,11.4
java,1517,https://github.com/json-iterator/java.git,4,,,,82962,22293,8.29
spring-boot-demo,958,https://github.com/smltq/spring-boot-demo.git,0,,,,19387,7450,5.8
