API_Type,Trial,Response_Time,Response_Size
REST,1,0.2865288257598877,6719
GraphQL,1,0.3546149730682373,977
REST,2,0.27115416526794434,6719
GraphQL,2,0.3333015441894531,977
REST,3,0.26463747024536133,6719
GraphQL,3,0.4126400947570801,977
REST,4,0.29491496086120605,6719
GraphQL,4,0.4962120056152344,977
REST,5,0.27292656898498535,6719
GraphQL,5,0.33257269859313965,977
REST,6,0.3072319030761719,6719
GraphQL,6,0.4265313148498535,977
REST,7,0.32713818550109863,6719
GraphQL,7,0.38945508003234863,977
REST,8,0.27672386169433594,6719
GraphQL,8,0.3570437431335449,977
REST,9,0.2794363498687744,6719
GraphQL,9,0.40653157234191895,977
REST,10,0.2727799415588379,6719
GraphQL,10,0.3286924362182617,977
REST,11,0.26920104026794434,6719
GraphQL,11,0.3564305305480957,977
REST,12,0.2883727550506592,6719
GraphQL,12,0.3605232238769531,977
REST,13,0.27353644371032715,6719
GraphQL,13,0.44713926315307617,977
REST,14,0.3240792751312256,6719
GraphQL,14,0.38770532608032227,977
REST,15,0.2788968086242676,6719
GraphQL,15,0.369426965713501,977
REST,16,0.27966833114624023,6719
GraphQL,16,0.3645305633544922,977
REST,17,0.2835257053375244,6719
GraphQL,17,0.37637853622436523,977
REST,18,0.32660984992980957,6719
GraphQL,18,0.4162278175354004,977
REST,19,0.29935741424560547,6719
GraphQL,19,0.39675283432006836,977
REST,20,0.2892763614654541,6719
GraphQL,20,0.45124292373657227,977
REST,21,0.31224489212036133,6719
GraphQL,21,0.32639408111572266,977
REST,22,0.2842094898223877,6719
GraphQL,22,0.35245800018310547,977
REST,23,0.29269957542419434,6719
GraphQL,23,0.4459724426269531,977
REST,24,0.29074811935424805,6719
GraphQL,24,0.39484524726867676,977
REST,25,0.2871663570404053,6719
GraphQL,25,0.5173206329345703,977
REST,26,0.308016300201416,6719
GraphQL,26,0.35076403617858887,977
REST,27,0.32341718673706055,6719
GraphQL,27,0.7277696132659912,977
REST,28,0.28173112869262695,6719
GraphQL,28,0.42325520515441895,977
REST,29,0.3184967041015625,6719
GraphQL,29,0.3490283489227295,977
REST,30,0.27069640159606934,6719
GraphQL,30,0.3699493408203125,977
